Warehouse,elem_astar,elem_astar_time,elem_astar_steps,elem_bfs,elem_bfs_time,elem_bfs_steps,macro_astar,macro_astar_time,macro_astar_steps,macro_bfs,macro_bfs_time,macro_bfs_steps
warehouse_0001.txt,Solution found,0.002s,33,Solution found,0.002s,33,Solution found,0.000s,8,Solution found,0.000s,8
warehouse_0003.txt,Solution found,0.009s,41,Solution found,0.009s,41,Solution found,0.001s,13,Solution found,0.002s,13
warehouse_0005.txt,Solution found,0.013s,25,Solution found,97.496s,25,Solution found,0.001s,8,Solution found,0.428s,6
warehouse_0007.txt,Solution found,0.148s,32,Timed out,,,Solution found,0.005s,12,Solution found,1.838s,6
warehouse_0009.txt,Solution found,0.001s,30,Solution found,0.001s,30,Solution found,0.000s,10,Solution found,0.000s,10
warehouse_0011.txt,Solution found,0.052s,78,Solution found,0.032s,78,Solution found,0.001s,16,Solution found,0.003s,16
warehouse_0013.txt,Solution found,0.097s,53,Solution found,0.878s,52,Solution found,0.004s,29,Solution found,0.020s,21
warehouse_0015.txt,Solution found,0.003s,37,Solution found,0.003s,37,Solution found,0.001s,14,Solution found,0.001s,12
warehouse_0017.txt,Solution found,0.001s,26,Solution found,0.010s,25,Solution found,0.000s,9,Solution found,0.002s,9
warehouse_0019.txt,Solution found,0.016s,45,Solution found,0.010s,41,Solution found,0.002s,20,Solution found,0.002s,20
warehouse_0021.txt,Solution found,0.001s,17,Solution found,0.001s,17,Solution found,0.000s,5,Solution found,0.000s,5
warehouse_0023.txt,Solution found,0.006s,56,Solution found,0.004s,56,Solution found,0.001s,10,Solution found,0.001s,10
warehouse_0025.txt,Solution found,0.005s,29,Solution found,0.016s,29,Solution found,0.000s,7,Solution found,0.002s,7
warehouse_0027.txt,Solution found,0.007s,50,Solution found,0.006s,50,Solution found,0.001s,12,Solution found,0.001s,10
warehouse_0029.txt,Solution found,0.060s,104,Solution found,0.039s,104,Solution found,0.007s,22,Solution found,0.004s,22
warehouse_0031.txt,Solution found,0.004s,17,Solution found,0.032s,17,Solution found,0.000s,6,Solution found,0.002s,6
warehouse_0033.txt,Solution found,0.184s,41,Solution found,1.482s,41,Solution found,0.002s,10,Solution found,0.034s,10
warehouse_0035.txt,Timed out,,,Timed out,,,Solution found,0.455s,35,Solution found,7.769s,31
warehouse_0037.txt,Solution found,0.656s,79,Solution found,0.553s,71,Solution found,0.001s,25,Solution found,0.016s,23
warehouse_0039.txt,Solution found,0.032s,85,Solution found,0.022s,85,Solution found,0.003s,27,Solution found,0.002s,27
warehouse_0041.txt,Solution found,0.012s,53,Solution found,0.021s,50,Solution found,0.001s,13,Solution found,0.003s,13
warehouse_0043.txt,Solution found,0.772s,61,Solution found,1.578s,61,Solution found,0.006s,22,Solution found,0.034s,22
warehouse_0045.txt,Solution found,0.014s,49,Solution found,0.049s,45,Solution found,0.000s,11,Solution found,0.004s,11
